OPP,WEEK,MONTH,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,P/M,RESULT,SCOREGS,SCOREOPP,COURT
BRO,1,DEC,30:19:00,7,21,33.3,2,10,20,4,4,100,3,1,4,10,2,0,3,1,20,-23,0,99,125,A
MIL,1,DEC,28:58:00,6,17,35.3,2,10,20,5,5,100,0,4,4,6,1,0,2,2,19,-24,0,99,138,A
CHI,1,DEC,36:26:00,11,25,44,5,15,33.3,9,9,100,0,2,2,6,2,2,4,1,36,3,1,129,128,A
DET,2,DEC,34:50:00,9,17,52.9,5,9,55.6,8,8,100,0,5,5,6,2,0,8,5,31,3,1,116,106,A
POR,2,JAN,33:38:00,9,20,45,4,12,33.3,4,4,100,0,8,8,5,0,0,1,1,26,-27,0,98,123,H
POR,2,JAN,36:26:00,18,31,58.1,8,16,50,18,19,94.7,1,4,5,4,0,0,5,0,62,20,1,137,122,H
SAC,3,JAN,30:34:00,9,18,50,5,12,41.7,7,7,100,0,9,9,8,0,0,2,3,30,26,1,137,106,H
LAC,3,JAN,34:59:00,5,17,29.4,1,6,16.7,2,4,50,1,3,4,5,1,0,0,3,13,-10,0,101,108,H
LAC,3,JAN,36:15:00,13,24,54.2,9,14,64.3,3,3,100,0,2,2,11,3,0,2,3,38,13,1,115,105,H
TOR,3,JAN,38:12:00,2,16,12.5,1,10,10,6,6,100,3,6,9,6,0,0,5,3,11,7,1,106,105,H
PAC,4,JAN,35:53:00,7,17,41.2,3,8,37.5,3,5,60,1,3,4,3,2,0,2,3,20,-2,0,95,104,H
DEN,4,JAN,36:58:00,14,23,60.9,5,11,45.5,2,2,100,0,11,11,4,2,0,7,2,35,-21,0,104,114,A
LAL,5,JAN,35:37:00,8,22,36.4,3,12,25,7,7,100,0,1,1,7,1,0,4,2,26,-3,1,115,113,A
SAS,5,JAN,31:28:00,10,17,58.8,4,8,50,2,2,100,1,10,11,7,1,0,4,2,26,30,1,121,99,H
NYK,5,JAN,34:39:00,9,19,47.4,5,14,35.7,7,8,87.5,0,3,3,4,2,0,4,3,30,-16,0,104,119,H
UTH,5,JAN,27:06:00,9,18,50,5,10,50,1,2,50,0,7,7,7,0,0,1,2,24,-24,0,108,127,A
MIN,6,JAN,33:52:00,11,21,52.4,7,12,58.3,7,8,87.5,1,3,4,3,3,0,3,2,36,19,1,130,108,H
MIN,6,JAN,33:13:00,6,17,35.3,4,11,36.4,0,0,0,0,6,6,8,0,0,2,2,16,28,1,123,111,H
PHO,6,JAN,31:14:00,10,20,50,5,10,50,2,2,100,1,3,4,4,0,0,4,2,27,-23,0,93,114,A
DET,6,JAN,29:57:00,11,17,64.7,6,8,75,0,0,0,0,5,5,7,2,0,6,1,28,26,1,118,91,H
BOS,7,FEB,38:10:00,12,21,57.1,7,14,50,7,7,100,0,11,11,8,3,0,3,0,38,4,0,107,111,H
DAL,7,FEB,29:56:00,9,17,52.9,4,10,40,6,6,100,0,3,3,6,0,0,2,2,28,19,1,147,116,A
DAL,7,FEB,37:04:00,19,31,61.3,11,19,57.9,8,8,100,0,2,2,5,1,0,3,3,57,7,0,132,134,A
SAS,8,FEB,35:37:00,10,17,58.8,6,11,54.5,6,6,100,0,7,7,6,1,0,1,1,32,3,0,100,105,A
SAS,8,FEB,31:56:00,11,20,55,4,10,40,6,8,75,0,4,4,2,0,0,1,1,32,15,1,114,101,A
ORL,8,FEB,37:23:00,14,26,53.8,10,19,52.6,2,2,100,0,8,8,5,4,0,6,1,40,16,1,111,105,H
BRO,8,FEB,33:38:00,10,17,58.8,2,9,22.2,5,5,100,0,3,3,5,0,0,4,2,27,-26,0,117,134,H
CLE,9,FEB,29:47:00,13,19,68.4,7,11,63.6,3,3,100,0,2,2,6,0,0,1,0,36,20,1,129,98,H
